file name | last modified | file size
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/doctrees/pages/repository.doctree | 2025-07-10 22:14:28 | 23271
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/docs/_sources/pages/api/tablefill/gslab_make.tablefill.tablefill.rst.txt | 2025-07-10 22:14:28 | 90
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/html/_sources/pages/source_logging.rst.txt | 2025-07-10 22:14:28 | 380
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/source/pages/api/run_program/gslab_make.run_program.run_perl.rst | 2025-07-10 22:14:28 | 89
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/html/_static/css/fonts/lato-bold-italic.woff | 2025-07-10 22:14:28 | 323344
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/gslab_make/move_sources.py | 2025-07-10 22:14:28 | 19397
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/docs/pages/api/make_utility/gslab_make.make_utility.update_paths.html | 2025-07-10 22:14:28 | 7824
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/gslab_make/private/__pycache__/movedirective.cpython-313.pyc | 2025-07-10 22:29:59 | 16524
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/doctrees/pages/api/make_utility/gslab_make.make_utility.copy_output.doctree | 2025-07-10 22:14:28 | 7010
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/test/raw/run_program/latex_file.tex | 2025-07-10 22:14:28 | 276
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/test/raw/run_program/stata_script space.do | 2025-07-10 22:14:28 | 108
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/docs/pages/api/run_program/gslab_make.run_program.run_matlab.html | 2025-07-10 22:14:28 | 11601
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/docs/_sources/pages/api/check_repo/gslab_make.check_repo.check_module_size.rst.txt | 2025-07-10 22:14:28 | 115
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/html/_static/css/badge_only.css | 2025-07-10 22:14:28 | 3229
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/sphinx/build/doctrees/pages/api/run_program/gslab_make.run_program.run_python.doctree | 2025-07-10 22:14:28 | 17516
/Users/wernerd/Desktop/gentzkowlab-projects/template_archive/lib/gslab_make/test/raw/config/config_bad.yaml | 2025-07-10 22:14:28 | 987
